iter	Passed	Remaining
639	1041	586
640	1043	584
641	1045	582
642	1046	581
643	1048	579
644	1050	577
645	1051	576
646	1053	574
647	1054	572
648	1056	571
649	1057	569
650	1059	568
651	1061	566
652	1063	564
653	1064	563
654	1066	561
655	1067	559
656	1069	558
657	1070	556
658	1072	554
659	1073	553
660	1075	551
661	1077	550
662	1079	548
663	1082	547
664	1084	546
665	1087	545
666	1089	543
667	1092	542
668	1094	541
669	1096	540
670	1098	538
671	1100	537
672	1102	535
673	1103	533
674	1105	532
675	1107	530
676	1108	529
677	1110	527
678	1111	525
679	1113	523
680	1114	522
681	1116	520
682	1118	518
683	1119	517
684	1121	515
685	1122	514
686	1124	512
687	1126	510
688	1127	509
689	1129	507
690	1130	505
691	1132	504
692	1134	502
693	1135	500
694	1137	499
695	1138	497
696	1140	495
697	1141	494
698	1143	492
699	1145	490
700	1147	489
701	1149	487
702	1151	486
703	1153	485
704	1155	483
705	1157	481
706	1159	480
707	1160	478
708	1162	477
709	1164	475
710	1166	474
711	1167	472
712	1169	470
713	1171	469
714	1173	467
715	1174	465
716	1176	464
717	1177	462
718	1179	460
719	1180	459
720	1182	457
721	1184	455
722	1185	454
723	1187	452
724	1189	451
725	1190	449
726	1192	447
727	1193	445
728	1195	444
729	1197	442
730	1198	441
731	1200	439
732	1201	437
733	1203	436
734	1204	434
735	1206	432
736	1207	431
737	1209	429
738	1211	427
739	1212	426
740	1214	424
741	1215	422
742	1217	421
743	1219	419
744	1220	417
745	1222	416
746	1223	414
747	1225	412
748	1227	411
749	1228	409
750	1230	407
751	1231	406
752	1233	404
753	1235	402
754	1236	401
755	1238	399
756	1239	398
757	1241	396
758	1242	394
759	1244	393
760	1246	391
761	1247	389
762	1249	388
763	1251	386
764	1252	384
765	1254	383
766	1255	381
767	1257	379
768	1259	378
769	1260	376
770	1262	374
771	1263	373
772	1265	371
773	1266	369
774	1268	368
775	1269	366
776	1271	364
777	1273	363
778	1274	361
779	1276	359
780	1277	358
781	1279	356
782	1281	355
783	1282	353
784	1284	351
785	1285	350
786	1287	348
787	1289	346
788	1290	345
789	1292	343
790	1293	341
791	1295	340
792	1297	338
793	1298	336
794	1300	335
795	1302	333
796	1303	332
797	1305	330
798	1307	328
799	1309	327
800	1311	325
801	1312	324
802	1314	322
803	1316	320
804	1317	319
805	1319	317
806	1320	315
807	1322	314
808	1324	312
809	1325	310
810	1327	309
811	1328	307
812	1330	305
813	1331	304
814	1333	302
815	1334	300
816	1336	299
817	1338	297
818	1339	296
819	1341	294
820	1343	292
821	1345	291
822	1347	289
823	1348	288
824	1350	286
825	1352	284
826	1353	283
827	1355	281
828	1357	279
829	1359	278
830	1361	276
831	1363	275
832	1365	273
833	1366	272
834	1368	270
835	1370	268
836	1372	267
837	1374	265
838	1375	264
839	1377	262
840	1379	260
841	1381	259
842	1383	257
843	1384	255
844	1386	254
845	1388	252
846	1390	251
847	1391	249
848	1393	247
849	1395	246
850	1397	244
851	1399	243
852	1400	241
853	1402	239
854	1404	238
855	1406	236
856	1407	234
857	1409	233
858	1411	231
859	1413	230
860	1414	228
861	1416	226
862	1418	225
863	1420	223
864	1422	221
865	1423	220
866	1425	218
867	1427	217
868	1428	215
869	1430	213
870	1431	212
871	1433	210
872	1434	208
873	1436	207
874	1438	205
875	1439	203
876	1441	202
877	1442	200
878	1444	198
879	1445	197
880	1447	195
881	1449	193
882	1450	192
883	1452	190
884	1453	188
885	1455	187
886	1457	185
887	1458	183
888	1460	182
889	1461	180
890	1463	179
891	1464	177
892	1466	175
893	1468	174
894	1470	172
895	1471	170
896	1473	169
897	1475	167
898	1476	165
899	1478	164
900	1479	162
901	1481	160
902	1482	159
903	1484	157
904	1486	156
905	1488	154
906	1489	152
907	1491	151
908	1492	149
909	1494	147
910	1495	146
911	1497	144
912	1499	142
913	1500	141
914	1502	139
915	1504	137
916	1505	136
917	1507	134
918	1508	132
919	1510	131
920	1511	129
921	1513	128
922	1514	126
923	1516	124
924	1518	123
925	1519	121
926	1521	119
927	1522	118
928	1524	116
929	1525	114
930	1528	113
931	1530	111
932	1531	110
933	1533	108
934	1535	106
935	1537	105
936	1538	103
937	1541	101
938	1543	100
939	1545	98
940	1547	97
941	1549	95
942	1551	93
943	1553	92
944	1554	90
945	1556	88
946	1558	87
947	1560	85
948	1561	83
949	1563	82
950	1565	80
951	1567	79
952	1569	77
953	1571	75
954	1572	74
955	1574	72
956	1575	70
957	1577	69
958	1579	67
959	1581	65
960	1582	64
961	1584	62
962	1586	60
963	1587	59
964	1589	57
965	1591	56
966	1593	54
967	1594	52
968	1596	51
969	1598	49
970	1600	47
